EmployeeID,Gender,Ethnicity,Dept,Role,Location,TenureYears,AttritionFlag,HireDate
1,M,GroupD,Finance,Accountant,Berlin,0.0,0,2020-12-11
2,M,GroupA,HR,Coordinator,Dublin,2.13,1,2021-01-26
3,F,GroupC,Finance,Analyst,NYC,2.97,0,2023-03-22
4,F,GroupB,Sales,SDR,Dublin,3.04,0,2022-02-11
5,F,GroupA,Marketing,Content,NYC,2.92,0,2022-02-03
6,M,GroupD,HR,HRBP,NYC,1.11,0,2022-01-29
7,M,GroupD,Sales,SDR,Dublin,0.77,1,2022-02-26
8,F,GroupB,Marketing,Paid Media,London,1.05,0,2023-12-10
9,F,GroupD,HR,Coordinator,Berlin,1.81,0,2020-04-17
10,F,GroupC,Marketing,SEO,Dublin,0.0,1,2020-11-05
11,F,GroupC,Finance,Analyst,Dublin,2.81,0,2021-04-05
12,F,GroupB,Sales,CSM,Berlin,5.39,0,2021-10-09
13,M,GroupA,Marketing,Paid Media,NYC,5.21,0,2021-10-08
14,M,GroupA,Sales,CSM,NYC,3.12,0,2021-05-01
15,M,GroupC,HR,HRBP,London,0.29,0,2021-02-25
16,F,GroupB,Marketing,SEO,Dublin,1.84,0,2020-08-13
17,M,GroupD,Engineering,Backend,Dublin,0.79,0,2022-06-30
18,F,GroupB,Engineering,Data,NYC,0.0,0,2020-10-15
19,F,GroupC,Marketing,SEO,Dublin,3.97,1,2020-07-02
20,Non-binary,GroupD,HR,HRBP,London,1.86,0,2022-06-29
21,F,GroupB,Sales,AE,London,6.44,0,2023-07-14
22,F,GroupD,Finance,Controller,NYC,2.08,0,2021-03-04
23,F,GroupB,Engineering,Data,Berlin,1.87,0,2024-01-12
24,F,GroupA,Finance,Accountant,Berlin,2.64,0,2024-03-21
25,F,GroupA,Sales,SDR,NYC,3.09,0,2021-01-01
26,F,GroupA,HR,Recruiter,Dublin,3.82,0,2021-11-21
27,F,GroupB,Sales,CSM,NYC,1.77,1,2024-05-04
28,M,GroupA,HR,Recruiter,London,2.28,0,2024-07-19
29,M,GroupA,Engineering,Frontend,London,5.27,0,2021-01-15
30,F,GroupB,Engineering,Frontend,Dublin,1.25,1,2020-07-03
31,M,GroupA,HR,Recruiter,Dublin,0.0,0,2020-05-01
32,M,GroupB,HR,HRBP,NYC,2.24,0,2023-03-27
33,F,GroupC,Sales,CSM,Berlin,2.31,1,2020-04-01
34,M,GroupA,Engineering,Backend,Berlin,6.29,0,2023-12-23
35,M,GroupB,HR,HRBP,Berlin,1.83,0,2023-05-07
36,F,GroupC,Finance,Analyst,Dublin,1.1,0,2023-03-09
37,F,GroupD,Finance,Analyst,London,0.35,0,2023-08-18
38,M,GroupA,HR,Coordinator,London,4.33,0,2024-12-15
39,M,GroupA,Engineering,Frontend,Berlin,0.2,0,2024-10-05
40,M,GroupB,Marketing,SEO,London,4.7,0,2024-04-28
41,M,GroupC,HR,Recruiter,Berlin,6.31,0,2023-03-30
42,M,GroupD,HR,HRBP,Berlin,6.45,0,2024-09-13
43,F,GroupB,Finance,Accountant,Berlin,5.97,0,2021-12-10
44,F,GroupC,Engineering,Frontend,Berlin,4.92,0,2020-06-27
45,M,GroupB,Finance,Accountant,London,2.4,1,2022-08-17
46,F,GroupA,HR,Coordinator,Dublin,5.34,1,2022-04-06
47,F,GroupA,Sales,CSM,NYC,0.92,0,2020-08-22
48,M,GroupA,HR,Recruiter,Berlin,3.05,0,2020-01-01
49,F,GroupA,Sales,CSM,NYC,3.79,0,2024-01-08
50,M,GroupA,Finance,Analyst,NYC,5.34,0,2020-04-03
51,M,GroupC,Marketing,Paid Media,Berlin,6.26,0,2022-12-27
52,M,GroupD,Sales,CSM,Dublin,1.17,0,2021-09-26
53,M,GroupC,Engineering,Backend,Dublin,2.06,1,2022-11-11
54,F,GroupA,Engineering,Backend,London,1.01,0,2020-02-02
55,M,GroupC,HR,Coordinator,London,4.88,0,2020-03-23
56,M,GroupC,Marketing,Paid Media,London,2.84,0,2022-06-23
57,F,GroupA,Finance,Accountant,Berlin,4.21,1,2024-10-09
58,M,GroupC,Marketing,Content,London,4.87,0,2022-12-07
59,M,GroupC,Engineering,Frontend,Dublin,0.0,0,2021-09-20
60,F,GroupC,Marketing,SEO,London,2.55,0,2021-08-11
61,F,GroupB,Marketing,Paid Media,London,4.59,0,2022-03-29
62,F,GroupA,HR,HRBP,London,3.99,0,2022-04-23
63,M,GroupD,HR,Coordinator,London,2.15,0,2024-01-08
64,Non-binary,GroupD,Finance,Analyst,London,3.05,0,2024-09-14
65,M,GroupA,Engineering,Frontend,Dublin,3.24,1,2021-09-08
66,M,GroupD,HR,Coordinator,NYC,3.69,1,2024-10-19
67,F,GroupB,HR,HRBP,Dublin,2.21,0,2023-06-04
68,M,GroupB,Sales,CSM,London,2.43,1,2022-03-30
69,M,GroupA,HR,HRBP,London,1.54,0,2022-10-21
70,F,GroupC,HR,HRBP,Berlin,4.5,0,2022-07-28
71,M,GroupD,Finance,Controller,Dublin,6.57,0,2022-02-23
72,F,GroupC,Sales,AE,Berlin,0.87,0,2020-11-29
73,M,GroupD,Sales,AE,London,3.68,0,2021-10-29
74,F,GroupB,Finance,Analyst,Berlin,2.98,0,2022-08-21
75,M,GroupD,Sales,SDR,London,4.45,0,2024-12-21
76,M,GroupC,HR,Recruiter,London,0.0,0,2020-10-18
77,F,GroupC,Sales,CSM,London,3.16,0,2021-08-14
78,F,GroupA,Sales,AE,NYC,4.05,0,2021-05-06
79,F,GroupB,Sales,SDR,NYC,2.82,0,2022-11-21
80,Non-binary,GroupC,Finance,Accountant,London,3.63,0,2024-03-09
81,F,GroupB,Marketing,SEO,Berlin,2.55,0,2024-03-06
82,M,GroupB,Sales,SDR,Berlin,0.0,0,2020-05-04
83,F,GroupC,Finance,Analyst,Berlin,1.23,0,2022-06-25
84,M,GroupD,Sales,SDR,Dublin,2.43,0,2022-02-25
85,F,GroupA,Finance,Controller,London,5.37,1,2021-04-11
86,M,GroupD,HR,Coordinator,Dublin,7.55,0,2024-02-24
87,F,GroupA,Marketing,Content,Dublin,4.54,0,2021-03-11
88,F,GroupA,Marketing,Content,Berlin,3.6,0,2020-08-30
89,M,GroupA,Marketing,Content,Dublin,2.74,0,2024-01-13
90,M,GroupB,HR,Recruiter,NYC,4.7,0,2022-06-26
91,M,GroupA,Marketing,SEO,Berlin,0.81,0,2020-04-22
92,M,GroupA,Marketing,Content,Berlin,6.24,0,2024-12-28
93,M,GroupA,Marketing,SEO,London,2.35,0,2023-10-13
94,F,GroupA,HR,Recruiter,Berlin,2.94,0,2024-06-20
95,M,GroupA,Sales,CSM,NYC,2.38,0,2020-07-17
96,M,GroupC,HR,Recruiter,London,1.96,0,2022-10-14
97,M,GroupD,Finance,Accountant,NYC,3.45,0,2020-11-23
98,M,GroupC,HR,Recruiter,Dublin,1.36,0,2024-04-30
99,M,GroupA,Sales,AE,London,4.78,1,2022-11-21
100,F,GroupD,Engineering,Data,NYC,6.31,0,2024-08-05
101,F,GroupC,HR,Coordinator,Berlin,5.71,0,2021-06-03
102,M,GroupA,HR,HRBP,Dublin,5.01,0,2021-06-27
103,M,GroupD,Marketing,Paid Media,Dublin,1.77,0,2020-10-31
104,M,GroupA,Engineering,Backend,London,4.53,0,2024-07-06
105,M,GroupA,Marketing,Content,NYC,4.01,0,2022-10-01
106,F,GroupB,Engineering,Backend,Berlin,1.94,0,2021-02-22
107,M,GroupC,Sales,SDR,Dublin,3.6,0,2024-10-12
108,F,GroupC,Marketing,Paid Media,NYC,1.23,0,2024-10-01
109,F,GroupA,Marketing,SEO,London,0.75,0,2022-05-16
110,F,GroupB,Finance,Analyst,Dublin,0.0,0,2021-10-04
111,M,GroupC,Marketing,SEO,NYC,0.37,0,2024-04-09
112,F,GroupB,HR,Coordinator,NYC,6.26,0,2020-12-08
113,F,GroupD,Finance,Accountant,NYC,1.13,0,2022-03-24
114,M,GroupC,Marketing,Content,Dublin,3.93,1,2021-06-04
115,F,GroupC,Sales,CSM,Dublin,1.92,0,2023-02-01
116,F,GroupC,Sales,CSM,NYC,0.91,0,2020-09-29
117,F,GroupC,HR,Coordinator,Dublin,5.14,0,2024-08-30
118,F,GroupB,Engineering,Backend,NYC,1.67,0,2021-07-18
119,M,GroupC,Engineering,Frontend,London,3.16,0,2024-11-09
120,F,GroupB,Engineering,Data,London,5.59,0,2020-03-26
121,F,GroupC,Marketing,Paid Media,NYC,5.53,0,2022-07-21
122,F,GroupA,Engineering,Frontend,NYC,3.6,1,2024-03-27
123,F,GroupA,Engineering,Data,Dublin,3.89,0,2023-02-19
124,M,GroupD,Marketing,Paid Media,Berlin,2.38,0,2024-05-28
125,F,GroupA,Marketing,Paid Media,London,3.04,0,2023-09-22
126,F,GroupD,Sales,SDR,NYC,1.09,0,2020-08-09
127,F,GroupA,Sales,CSM,Dublin,4.85,0,2024-07-14
